,Ticker,Name,Exchange,output
1923,MYC,Blackrock Muniyield California Fund,NYSE,Blackrock Muniyield California Fund (MYC)
1924,MYD,Blackrock Muniyield Fund,NYSE,Blackrock Muniyield Fund (MYD)
1925,MYE,Myers Industries,NYSE,Myers Industries (MYE)
1926,MYF,Blackrock Muniyield Investment Fund,NYSE,Blackrock Muniyield Investment Fund (MYF)
1927,MYI,Blackrock Muniyield Quality Fund III,NYSE,Blackrock Muniyield Quality Fund III (MYI)
1928,MYJ,Blackrock Muniyield New Jersey Fund,NYSE,Blackrock Muniyield New Jersey Fund (MYJ)
1929,MYM,Blackrock Muniyield Michigan Quality,NYSE,Blackrock Muniyield Michigan Quality (MYM)
1930,MYN,Blackrock Muniyield New York Quality,NYSE,Blackrock Muniyield New York Quality (MYN)
1931,MZF,Managed Duration Investment Grade Fund,NYSE,Managed Duration Investment Grade Fund (MZF)
1932,N,Netsuite Inc,NYSE,Netsuite Inc (N)
1933,NAC,Nuveen California Divadv Fund,NYSE,Nuveen California Divadv Fund (NAC)
1934,NAD,Nuveen Divadv Fund,NYSE,Nuveen Divadv Fund (NAD)
1935,NAD-C,Nuveen Div Advantage Muni Fd,NYSE,Nuveen Div Advantage Muni Fd (NAD-C)
1936,NAI,Agic International & Premium Strategy,NYSE,Agic International & Premium Strategy (NAI)
1937,NAN,Nuveen New York Divadv Fund,NYSE,Nuveen New York Divadv Fund (NAN)
1938,NAN-C,Nuveen NY Div Advantage Muni F,NYSE,Nuveen NY Div Advantage Muni F (NAN-C)
1939,NAN-D,Nuveen New York Dividend Advan,NYSE,Nuveen New York Dividend Advan (NAN-D)
1940,NAT,Nordic American Tanker Shipping Limited,NYSE,Nordic American Tanker Shipping Limited (NAT)
1941,NAV,Navistar International Corp.,NYSE,Navistar International Corp. (NAV)
1942,NAZ,Nuveen Arizona Premium Fund,NYSE,Nuveen Arizona Premium Fund (NAZ)
1943,NAZ-D,Nuveen Arizona Premium Income,NYSE,Nuveen Arizona Premium Income (NAZ-D)
1944,NBB,Nuveen Build America Bond Fund,NYSE,Nuveen Build America Bond Fund (NBB)
1945,NBD,Nuveen Build America Bond Opportunity,NYSE,Nuveen Build America Bond Opportunity (NBD)
1946,NBG,National Bank Of Greece Sa,NYSE,National Bank Of Greece Sa (NBG)
1947,NBG-A,Natl Bk Of Gr Pfd Ad,NYSE,Natl Bk Of Gr Pfd Ad (NBG-A)
1948,NBHC,National Bank Holdings Corp.,NYSE,National Bank Holdings Corp. (NBHC)
1949,NBL,Noble Energy Inc.,NYSE,Noble Energy Inc. (NBL)
1950,NBR,Nabors Industries,NYSE,Nabors Industries (NBR)
1951,NC,Nacco Industries,NYSE,Nacco Industries (NC)
1952,NCA,Nuveen California Muni Value Fund,NYSE,Nuveen California Muni Value Fund (NCA)
1953,NCI,Navigant Consulting,NYSE,Navigant Consulting (NCI)
1954,NCO,Nuveen California Muni Market,NYSE,Nuveen California Muni Market (NCO)
1955,NCP,Nuveen California Performance Plus Fund,NYSE,Nuveen California Performance Plus Fund (NCP)
1956,NCR,Ncr Corp.,NYSE,Ncr Corp. (NCR)
1957,NCS,Nci Building Systems,NYSE,Nci Building Systems (NCS)
1958,NCT,Newcastle Investment Corp.,NYSE,Newcastle Investment Corp. (NCT)
1959,NCT-B,Newcastle Inv Pfd B,NYSE,Newcastle Inv Pfd B (NCT-B)
1960,NCT-C,Newcastle Investment Corporatio,NYSE,Newcastle Investment Corporatio (NCT-C)
1961,NCT-D,Newcastle Invt Corp,NYSE,Newcastle Invt Corp (NCT-D)
1962,NCU-C,Nuveen California Premium Inco,NYSE,Nuveen California Premium Inco (NCU-C)
1963,NCV,Agic Convertible &,NYSE,Agic Convertible & (NCV)
1964,NCZ,Agic Convertible & II,NYSE,Agic Convertible & II (NCZ)
1965,NDP,Tortoise Energy Independence F,NYSE,Tortoise Energy Independence F (NDP)
1966,NDRO,Enduro Royalty Trust,NYSE,Enduro Royalty Trust (NDRO)
1967,NDZ,Nordion Inc.,NYSE,Nordion Inc. (NDZ)
1968,NE,Noble Corp.,NYSE,Noble Corp. (NE)
1969,NEA-C,Nuveen Insd Tax-Free,NYSE,Nuveen Insd Tax-Free (NEA-C)
1970,NED,Noah Education Holdings Ltd,NYSE,Noah Education Holdings Ltd (NED)
1971,NEE,Nextera Energy,NYSE,Nextera Energy (NEE)
1972,NEE-C,Fpl Group Inc. 5 7/8% Preferre,NYSE,Fpl Group Inc. 5 7/8% Preferre (NEE-C)
1973,NEE-F,Fpl Group Inc. Fpl Group Capit,NYSE,Fpl Group Inc. Fpl Group Capit (NEE-F)
1974,NEE-G,Nextera Energy Capital Holding,NYSE,Nextera Energy Capital Holding (NEE-G)
1975,NEE-H,Nextera Energy Capital Holding,NYSE,Nextera Energy Capital Holding (NEE-H)
1976,NEE-I,Nextera Energy Capital Holding,NYSE,Nextera Energy Capital Holding (NEE-I)
1977,NEE-J,Nextera Energy Capital Holding,NYSE,Nextera Energy Capital Holding (NEE-J)
1978,NEE-O,Nextera Energy Inc.,NYSE,Nextera Energy Inc. (NEE-O)
1979,NEM,Newmont Mining Corp.,NYSE,Newmont Mining Corp. (NEM)
1980,NES,Nuverra Environmental Solutions Inc.,NYSE,Nuverra Environmental Solutions Inc. (NES)
1981,NEU,Newmarket Corp.,NYSE,Newmarket Corp. (NEU)
1982,NEV,Nuveen Enhanced Muni Value Fund,NYSE,Nuveen Enhanced Muni Value Fund (NEV)
1983,NFG,National Fuel Gas Company,NYSE,National Fuel Gas Company (NFG)
1984,NFJ,Nfj Dividend Interest & Premium Strategy,NYSE,Nfj Dividend Interest & Premium Strategy (NFJ)
1985,NFX,Newfield Exploration Company,NYSE,Newfield Exploration Company (NFX)
1986,NGG,National Grid Transco Plc,NYSE,National Grid Transco Plc (NGG)
1987,NGL,Ngl Energy Partners Lp,NYSE,Ngl Energy Partners Lp (NGL)
1988,NGLS,Targa Resources Partners Lp,NYSE,Targa Resources Partners Lp (NGLS)
1989,NGS,Natural Gas Services Group,NYSE,Natural Gas Services Group (NGS)
1990,NGVC,Natural Grocers By Vitamin Cottage Inc,NYSE,Natural Grocers By Vitamin Cottage Inc (NGVC)
1991,NGX-C,Nuveen Insured Massachusetts T,NYSE,Nuveen Insured Massachusetts T (NGX-C)
1992,NGZ,Agic Global Equity & Convertible,NYSE,Agic Global Equity & Convertible (NGZ)
1993,NHF,Nexpoint Credit Strategies Fund,NYSE,Nexpoint Credit Strategies Fund (NHF)
1994,NHI,National Health Investors,NYSE,National Health Investors (NHI)
1995,NI,Nisource Inc,NYSE,Nisource Inc (NI)
1996,NID,Nuveen Intermediate Duration M,NYSE,Nuveen Intermediate Duration M (NID)
1997,NIE,Agic Equity & Convertible,NYSE,Agic Equity & Convertible (NIE)
1998,NIM,Nuveen Maturities Fund,NYSE,Nuveen Maturities Fund (NIM)
1999,NIO,Nuveen Insured Muni Opportunity Fund,NYSE,Nuveen Insured Muni Opportunity Fund (NIO)
2000,NIQ,Nuveen Intermediate Duration Q,NYSE,Nuveen Intermediate Duration Q (NIQ)
2001,NJ,Nidec Corporation,NYSE,Nidec Corporation (NJ)
2002,NJR,Newjersey Resources Corp.,NYSE,Newjersey Resources Corp. (NJR)
2003,NKA,Niska Gas Storage Partners Llc,NYSE,Niska Gas Storage Partners Llc (NKA)
2004,NKE,Nike,NYSE,Nike (NKE)
2005,NKG-C,Nuveen Georgia Div Adv Mun Fd,NYSE,Nuveen Georgia Div Adv Mun Fd (NKG-C)
2006,NKG-D,Nuveen Ga Div Advantage Muni F,NYSE,Nuveen Ga Div Advantage Muni F (NKG-D)
2007,NL,Nl Industries,NYSE,Nl Industries (NL)
2008,NLS,Nautilus Group,NYSE,Nautilus Group (NLS)
2009,NLSN,Nielsen Holdings N.V.,NYSE,Nielsen Holdings N.V. (NLSN)
2010,NLY,Annaly Capital Management Inc,NYSE,Annaly Capital Management Inc (NLY)
2011,NLY-A,Annaly Capital Manag,NYSE,Annaly Capital Manag (NLY-A)
2012,NLY-C,Annaly Capital Management Inc,NYSE,Annaly Capital Management Inc (NLY-C)
2013,NLY-D,Annaly Capital Management Inc,NYSE,Annaly Capital Management Inc (NLY-D)
2014,NM,Navios Maritime Holdings Inc.,NYSE,Navios Maritime Holdings Inc. (NM)
2015,NMA,Nuveen Muni Advantage Fund,NYSE,Nuveen Muni Advantage Fund (NMA)
2016,NMFC,New Mountain Finance Corporati,NYSE,New Mountain Finance Corporati (NMFC)
2017,NMI,Nuveen Muni,NYSE,Nuveen Muni (NMI)
2018,NMK-B,Niagara Mohawk Holdings Inc. P,NYSE,Niagara Mohawk Holdings Inc. P (NMK-B)
2019,NMK-C,Niagara Mohawk 3.60,NYSE,Niagara Mohawk 3.60 (NMK-C)
2020,NMM,Navios Maritime Partners Lp,NYSE,Navios Maritime Partners Lp (NMM)
2021,NMO,Nuveen Muni Market Opportunity Fund,NYSE,Nuveen Muni Market Opportunity Fund (NMO)
2022,NMR,Nomura Holdings Inc ADR,NYSE,Nomura Holdings Inc ADR (NMR)
2023,NMT,Nuveen Massachusetts Premium Fund,NYSE,Nuveen Massachusetts Premium Fund (NMT)
2024,NMT-C,Nuveen Mass Prem Inc,NYSE,Nuveen Mass Prem Inc (NMT-C)
2025,NMT-D,Nuveen Massachusetts Premium In,NYSE,Nuveen Massachusetts Premium In (NMT-D)
2026,NMY,Nuveen Maryland Premium Fund,NYSE,Nuveen Maryland Premium Fund (NMY)
2027,NMY-C,Nuveen Maryland Premium Income,NYSE,Nuveen Maryland Premium Income (NMY-C)
2028,NMY-D,Nuveen Maryland Premium Income,NYSE,Nuveen Maryland Premium Income (NMY-D)
2029,NMY-E,Nuveen Maryland Premium Income,NYSE,Nuveen Maryland Premium Income (NMY-E)
2030,NMY-F,Nuveen Maryland Premium Income,NYSE,Nuveen Maryland Premium Income (NMY-F)
2031,NMY-G,Nuveen Maryland Premium Income,NYSE,Nuveen Maryland Premium Income (NMY-G)
2032,NMY-H,Nuveen Maryland Premium Income,NYSE,Nuveen Maryland Premium Income (NMY-H)
2033,NNA,Navios Maritime Acquisition Corp.,NYSE,Navios Maritime Acquisition Corp. (NNA)
2034,NNC,Nuveen North Carolina Premium Fund,NYSE,Nuveen North Carolina Premium Fund (NNC)
